urd-ng-102-174502-11516146-post144__3	جس طرح کامريڈ چے گويرا، نواب اکبرخان بگٹی، ڈاکٹر نجيب اللہ اور ہزاروں انقلابيوں کی لاشوں کی بےحرمتی دشمن کے ہاتھوں ہوئی ہے۔	As the bodies of Comrade Che Guevara, Nawab Akbar Khan Bagti, Dr. Najibullah and thousands of other revolutionists were dishonored at the hands of the enemy.	As Kamri dach gaveera, Nawab Akbar Khan Bagti, Dr Najeeb ul llah and thousands of Revolutionarys Dead bodies has been disgraceful by Enemies hands	Like the deadbodies of Comrade Che Guevara, Nawab Akbar Khan Bugti, Doctor Najeebullah and thousands of other revolutionists have been subjected to dishonour at the hands of the enemy.	The way kamaridche gawera , nawab akber khan Bugti, Dr.najeebullah and thousands of protestors bodies were disrespected by the hands of enemies.	-343.956	-453.114	-352.903	-328.368	-343.096	-454.651	-351.42	-326.709
urd-ng-102-174502-11516146-post144__4	وہ تو مر کر بھی امر ہوتے ہيں۔	They are deathless even after being dead.	They command even after they die.	They are immortal even after they die.	Die and he has also been.	-57.4402	-21.2166	-56.1412	-19.7268	-57.6301	-21.9065	-56.6321	-20.5575
urd-ng-102-174502-11516146-post144__5	ليکن يہاں تو ايک بين الاقوامی گيم کھيلا جارہا ہے، يہاں وحشت اور درندگی سے عوام کو خوفزدہ کر کے حکمرانی کی جا رہی ہے۔	But here an international game is being played. Here ferrocity and animosity is created to do the ruling.	But there is an international game being played over here. Here, they are ruling by scaring the public about beastliness and terror.	But there is a international game being played here in which place public is ruled by frightening through barbarism and ferociousness.	But they were playing international game here and, is being boorishness and brutality, people scared of the rule.	-95.7226	-136.051	-100.183	-94.3186	-96.4256	-134.437	-101.766	-95.1902
urd-ng-102-174502-11516146-post144__6	تاکہ جواز پيدا کيا جا سکے کہ اگر ہم نہ ہونگے تو ايسے وحشی اور درندے آکر حکومت پر قبضہ کرينگے۔	So there can be reason created that if we are not here then these vandals and animals can come take over the government.	So that it would be permissible for them, saying that if we are not there, beasts and wild people will come and capture the government.	So that license can be created that if we are not here than these ferocious and barbaric will clutch the government.	There are so that she could be having that if we are not be spokesman ferocious and come to destroy the government .	-93.8838	-60.7961	-61.4607	-53.5818	-93.2481	-62.2636	-62.2813	-57.1961
urd-ng-102-174502-11516146-post161__1	دین کے نام پر نام نہاد اسلام پسندوں کی یہ حرکت بےحد قابل مذمت ہے۔	In the name of religion, activities of these so called Islam lovers is highly condemned.	Such actions of the so called Islam lovers, in the name of religion is extremely disagreeable.	These acts of so called Islamic activists on the name of religion is without limit worthy of condemnation.	calling an islamic religion as an endless religion is condemnable action.	-48.3924	-51.1028	-53.4227	-41.7021	-47.9553	-49.0591	-55.1493	-42.0928
urd-ng-102-174502-11516146-post161__2	ان انتہا پسندوں کے حامیوں کو امریکہ کے ظلم تو دکھائی دیتے ہیں لیکن اس جیسی بہیمانہ حرکتوں پر افسوس کرنے کی بجائے وہ ان کو قبائلی روایات کا نام دے ک صاف کنی کترا جاتے ہیں۔	America sees the torture of these extremists but instead of being sad on these faithless activities, they easily name them as tribal culture.	The supporters of these fundamentalists can see the oppression of America, but instead of being sorry about such beastly actions, give it the name of tribal traditions, and clearly avoid it.	These supporters of extremists can see the injustice of America but instead of expressing grieve on those dishonest acts they clearly shun them by giving them name of tribal traditions.	The extremists gives support to the cruelty of united stated. But this looks like a brutal action against the tribal tradition.	-114.9	-92.5529	-100.108	-67.4781	-114.87	-91.2497	-101.647	-66.7742
urd-ng-102-174502-11516146-post161__3	کھبی قبائلی روایات کا لبادہ اوڑ کر کبھی اسلام کا نام لے کر ہونے والی اس طرح کی بہیمانہ کارروائی کا جواز کسی صاحبِ دل کے پاس تو نہیں ہو سکتا۔	The reason for these faithless activities, sometimes given in the name of tribal culture and other times in the name of Islam, is not something done by a person with a heart.	Any person with a heart can never accept these beastly actions, which are done sometimes in the name of tribal traditions and sometimes in the name of Islam.	Sometimes by cloaking in tribal traditions, sometimes on the name of Islam, any pious man cannot give reason for such dishonest acts.	The tradition of the Mantel Lucrative tribals have said not to take brutal action in the name of Islam	-113.405	-78.0563	-79.2602	-125.594	-110.035	-76.1745	-81.1674	-123.94
urd-ng-102-174502-11516146-post164__1	میرے خیال میں ہماری فوج کے لوگ ان لوگوں سے ملے ہیں۔	In my opinion, people of our army are with these people.	I think the people of our army have joint these people.	In my view, our Army people are associated with theses people.	In my opinion our army, people will get the people.	-26.5167	-27.3973	-32.2077	-26.6205	-25.9907	-27.1789	-31.0178	-25.4989
urd-ng-102-174502-11516146-post164__2	وہ ایسا کہ جب یہ لوگ نقل حرکت کرتے ہیں تو اس میں اتنا ٹائم تو لگنا ہے، اسے پکڑنے کے لیے اتنا ٹایم تو ہوگا لیکن وہ موقع پر پہنچنا تو دور وہ اگر وہاں ہوتے بھی تو وہاں سے رفو چکر ہوتے ہے۔	That is because when they change destination, it takes time. But to catch them, forget about getting there on time, even if they are on the spot, they leave from there.	This is because, when these people move around, at least some time will be taken. To catch them will only take so much time. But, forget about getting to that spot, even if they were there, they escape from there.	As such that when these people move from a place then it takes such time that they can be caught, there should be time for that but its a stretch that they get there on time even if they are there, they are long gone.	They are the move, a copy of this time, so take the laser, the timetable for, so, but they will be on the occasion, and they go there, there are also have the darn cycle.	-88.7119	-108.296	-111.883	-160.591	-82.9615	-104.812	-113.561	-162.737
urd-ng-102-174502-11516146-post164__3	کیا یہ لوگ اتنے بہادر ہیں کہ وہ پچاس ستر آدمیوں کو یرغمال کرتے ہیں اور ہماری فوج ہاتھ پہ ہاتھ رکھے اس کو تماشائی کی طرح دیکھتی ہے۔	Are they so brave that they keep 50-70 people hostage and our army just watches it as spectators?	Are these people so brave that they take 50 or 70 people hostage and our army watches like an audience, with hand on hand.	Are they so merciless that they kidnap fifty seventy men and our Army putting hand on hand looks at them like a spectator.	Are these people that they are so Bahadur 50 70 men are held hostage to our army and hand it to respond to keep the hand of spectators, questionably.	-136.481	-82.0988	-88.7641	-123.568	-135.681	-80.7579	-88.7255	-122.558
